tid,date,type,price,amount
18373298,1735269818,buy,598764.18149253,0.00001670
18373299,1735269841,buy,598649.46321649,0.00001670
18373300,1735269848,sell,598182.13079755,0.00017397
18373301,1735269865,buy,598574.55707077,0.00001670
18373302,1735269879,buy,598573.80805671,0.00001670
18373303,1735269901,buy,598573.80805603,0.00000835
18373304,1735269902,buy,598573.80805600,0.00165409
18373305,1735269903,sell,598103.41039856,0.00016050
18373306,1735269960,buy,598718.15395770,0.00033661
18373307,1735269993,sell,598338.78589473,0.00009442
18373308,1735270020,sell,598338.78589519,0.00000496
18373309,1735270031,buy,598733.14826571,0.00016419
18373310,1735270036,buy,598692.60235498,0.00005321
18373311,1735270077,buy,598338.79000001,0.00024645
18373312,1735270077,sell,598338.79000000,0.00835999
18373313,1735270088,sell,598158.24000000,0.00001207
18373314,1735270093,sell,598158.24000000,0.00022405
